Step,No.Susceptible,No.infectious,No.Recovered
38808,2572,368,54
38822,2572,368,54
38836,2572,366,56
38850,2651,365,57
38864,2651,365,57
38878,2726,365,57
38892,2726,365,57
38906,2810,365,57
38920,2801,373,58
38934,2894,372,59
38948,2888,374,63
38962,2998,374,64
38976,2996,374,66
38990,3067,372,68
39004,3062,377,68
39018,3062,375,70
39032,3062,375,70
39046,3062,375,70
39060,3062,374,71
39074,3062,370,75
39088,3062,368,77
39102,3062,366,79
39116,3062,363,82
39130,3062,361,84
39144,3062,358,87
39158,3062,356,89
39172,3062,355,90
39186,3062,352,93
39200,3062,350,95
39214,3145,349,96
39228,3142,351,97
39242,3243,348,100
39256,3237,354,100
39270,3340,354,100
39284,3336,355,103
39298,3405,354,104
39312,3397,360,106
39326,3506,360,107
39340,3504,358,111
39354,3504,357,112
39368,3607,356,113
39382,3601,361,114
39396,3601,359,116
39410,3601,357,118
39424,3601,357,118
39438,3601,357,118
39452,3601,356,119
39466,3601,354,121
39480,3601,353,122
39494,3601,352,123
39508,3601,349,126
39522,3601,346,129
39536,3601,344,131
39550,3637,343,132
39564,3637,343,132
39578,3726,342,133
39592,3720,346,135
39606,3820,346,135
39620,3815,351,135
39634,3886,347,139
39648,3883,349,140
39662,3966,347,143
39676,3958,352,146
39690,3958,352,146
39704,4054,350,148
39718,4054,349,149
39732,4151,346,152
39746,4143,353,153
39760,4142,354,153
39774,4142,353,154
39788,4142,352,155
39802,4142,351,156
39816,4142,350,157
39830,4142,350,157
39844,4142,349,158
39858,4142,348,159
39872,4142,347,160
39886,4142,345,162
39900,4142,344,163
39914,4142,342,165
39928,4142,340,167
39942,4243,339,168
39956,4237,344,169
39970,4330,343,170
39984,4325,346,172
39998,4426,346,172
40012,4418,353,173
40026,4497,352,174
40040,4492,355,176
40054,4492,353,178
40068,4559,351,180
40082,4558,350,182
40096,4660,349,183
40110,4655,353,184
40124,4655,350,187
40138,4655,349,188
40152,4655,349,188
40166,4655,349,188
40180,4655,345,192
40194,4655,341,196
40208,4655,341,196
40222,4655,341,196
40236,4655,339,198
40250,4655,338,199
40264,4655,338,199
40278,4597,328,197
40292,4597,327,198
40306,4639,322,197
40320,4630,329,199
40334,4626,312,194
40348,4622,315,195
40362,4623,304,188
40376,4623,304,188
40390,4644,297,188
40404,4644,296,189
40418,4644,295,190
40432,4678,290,191
40446,4676,291,192
40460,4768,289,194
40474,4761,296,194
40488,4760,296,195
40502,4760,294,197
40516,4760,292,199
40530,4760,292,199
40544,4760,292,199
40558,4760,290,201
40572,4760,289,202
40586,4760,289,202
40600,4760,288,203
40614,4760,286,205
40628,4760,285,206
40642,4682,277,204
40656,4682,275,206
40670,4682,266,205
40684,4674,274,205
40698,4704,275,203
40712,4699,280,203
40726,4719,272,202
40740,4715,276,202
40754,4640,266,203
40768,4745,266,203
40782,4739,271,204
40796,4724,269,202
40810,4720,273,202
40824,4813,274,203
40838,4809,277,204
40852,4808,278,204
40866,4806,279,205
40880,4806,276,208
40894,4806,276,208
40908,4806,275,209
